,review
827,"This place is tucked away and pretty hidden, about 2 blocks from Castro.  When you walk in, you immediately hear people speaking Japanese, which is actually a pretty rare finding at Japanese places in the bay area.  They do take reservations, and even on a weeknight, the place was packed.We chose from a limited selection of beer, sake, and wine to start.  Everyone gets the standard miso soup, and there was also a small bowl of edemame to share.Most people go for the omakase, which comes in different prices ranges.  I don't know that I'd necessarily call it ""omakase"" when a bunch of sushi or sashimi comes to you all on one plate, but it's a pretty good deal if you want things like toro and uni.I got the yosenabe, which was a big portion, with some seafood in it.  It wasn't spectacular, but it was nice and warm on a rainy day.The place feels really authentic, and they have you take off your shoes to sit at the tables in the inner room.  There's also a small sushi bar right when you walk in.  They don't do the fancy rolls, but they have some pretty fresh fish.  They have specials on the weekends, too.Anyway, it's a cute little place for reasonably priced sushi/sashimi, especially if you like toro ;)"
828,"A nice little hole-in-the-wall find just next to the nice older section of downtown Mountain View suburbs.Had the lunch special: $8.90 for - Salmon soup: Delicious! But the fish was a bit boney...maybe it was the leftover sections from the salmon sashimi. - Sushi Rice bowl with three triangular pieces of tuna sashimi which had been very-very lightly seared + spicy chopped tuna + Ginger slices, wasabi + a toasted seaweed rice seasoning. Very good and a bit spicy because of the chopped tuna! Really different for me who normally gets something katsu-style. - Something interesting. Scallion planks: Two skewered ""planks"" [deck of card dimensions] of  3"" sections of green scallions, panko breaded and deep-fried. Reminded me of a different style of onion rings.Problem with the scallions was that they came out very late and only with some flagging down by our table.  While tasty they were a bit tough because of the fibrous outside layers. - Green tea: Good. Overall the service was OK for such a small place; friendly but maybe a few too many tables for the wait-staff.This is definitely going on my list of Mountain View sushi favs."
829,"I love Sushi Tomi, its my favorite sushi place in the area! It always has very fresh sashimi and in generous portions. I usually get the Chirashi bowl and i'm always satisfied with it.It is a very popular place, so there's usually a wait. It's a good idea to make a reservation!TIP: for lunch, getting the Sashimi Lunch is a few bucks cheaper than the Chirashi bowl AND there's more fish! I learned this the hard way. hahah"
830,"Was in the neighborhood for the funeral.Sushi Tomi was recommended by my local friend but I was not sure about this place looking from outside of the restaurant even though there was a waiting line outside the store. We did not want to wait in line and decided to go elsewhere for dinner and that was good and not like memorable 5 starts.  Obviously, I regret not waiting in line at Sushi Tomi..... I keep thinking about Sushi Tomi that night somehow so my daughter and I decided to go back for lunch the next day right at opening.   Bang!!  Amazing traditional Special omakase sushi plate without fancy sauce and stuff.   Nigel.  Thank YOU so much for your recommendation.  We loved it. This is what we call ""real authentic sushi place"" .... and the price was just right."
831,"Probably one of the best sushi places in the area. The wait can be long as they don't take reservations but we got lucky and were seated within 5 minutes anyways. The nigiri was very fresh, though pricey. It ranges from $6-$15. Nigiri: Red snapper - very flavorfull Giant clam - first time having giant clam. The texture was similar to cartilege. I felt like it needed a bit of soy sauce to bring out the flavor. Tobiko - nothing special Unagi don ($19.90) was delicious, the pieces of eel were decently fatty and melted into your mouth. The best unagi don I've had was at kirala in Berkeley. This is the closest I've found to that. A downside is that the tables are very close to each other and unless you're carrying your own loud conversation it's impossible to not eavesdrop on your neighbors. Hello parents with teenage children issues - glad you're working them out."
832,"Came here for dinner with my friend the other day. We looked at their menus while we were waiting, and omg I remember they had about four menus because I kept flipping them back and forth and switching with my friend LOL. We were soon seated at the sushi bar, which was nice since we were able to see the chefs make the dishes. They looked like they were really enjoying their job! :)My friend and I each ordered chirashi, which is raw fish served on top of sushi rice. All of the fish tasted fresh and they seemed to almost melt in my mouth! I got full just from eating the fish alone, so I took the rice home since it tasted so good LOL.I would definitely come here again if I'm near the area! Plus, there's a small parking lot with lots of space right in front of the restaurant, which is always convenient. :)"
833,"Tiny, cramped, long lines at any time of day but ohhhhh that sushi makes it all worthwhile. The fish is fresh, buttery, flavorful. The Tomi roll is outstanding, the Sahimi is a delight. Even take away is done well! Authentic, fresh and delicious, by far superior to any other sushi we've eaten in all the Bay."
834,Food is just OK. Chirashi bowl is small and only few selection of fishes. Other sushi rolls are just OK. Long line waiting but not worth it.
835,"I was pretty confused when I saw my food, because I was expecting something more... and I mean that literally. I walked into this place with high hopes after seeing such rave reviews. It was small and the people were all Japanese, so I pegged this as one of those authentic, but non-innovative-sushi restaurants. I tried the Beef Teriyaki/Sashimi Combo: it was tinyyyy, charred, and dry. The side salad was small also, but the gave a generous portion of rice (which is useless if I have nothing to eat it with). The tuna wasn't bad, but I was expecting higher quality sashimi and more of it. The Salmon Teriyaki was small and dry too. The Philladelphia Roll and the Dragon Roll were OK. Pros: The waitress let me place a take-out order 15 minutes before opening. The workers are Japanese.Cons: Lack of innovation in sushi, small portions, dry entrees. If you want to get some good authentic Japanese food (with Vietnamese waitresses, heh), go to Yuki Sushi. A bit more expensive, but they give you much more of everything, unlimited rice, and everything from the salad to the sashimi is good.P.S. They don't accept AMEX"
836,"This place has definitely gone downhill! I felt sick afterwards and my clothes all smelled like raw fish. If you must go here, try out the Tomi Special roll. It was half decent I guess.- I felt sick immediately after eating here- Their sake was a dark yellow and tasted like acetone! I also asked them to serve it with the sushi but they brought it with the salad.- The place is super stuffy to the point where the windows were fogged!- Their Yellowtail/Hamachi sushi is $13 for 2 pieces? I should have looked at the price before I ordered. - Their salad has way too much creamy dressing in it- $13 for Hamachi sushi?- Their dipping dishes are too shallow"
837,"This place seems like a good solid 4 star restaurant.The food is fresh and never dry. The service is super fast. The only reason it's not 5 stars is that the ambiance could be MUCH better. It's small, cramped in, bad lighting, no music, wooden old chairs and tables. Nothing is really new and sleek here. Good fresh sushi at slightly above average prices but lacking that extra ambiance that would merit a 5 star experience.Their salads are good but the dressing is slightly watery. I liked the free edamame (complimentary if you order alcohol)I noticed they finally serve green tea with meals which is a nice upgrade they've done to this place :)The spicy tuna roll is out of this world!"
838,"This is one of my favorite sushi places.  One of my favorite Japanese places in general.  The sushi bar is always good, with quick and helpful chefs.  Fish is practically moving, it's so fresh.  Cuts are generous without being ridiculous.Tables include both tatami and western style.  I'll take either, have seated in both, and enjoyed them both.It DOES get crowded, but I expect that with somewhere so tasty.I find the prices reasonable, seating good, and their menu varies while keeping basic components always available.  Not just sushi either, but noodles and other fish and fowl dishes.  Always a good range.I keep going back, though I no longer work so near, just because it's that good."
839,"Hamachi Kama = party time. all the time.This place gets packed pretty much every evening so make reservations and then circle around Castro for 40 minutes looking for parking. Back to the food, this is a solid sushi joint and always my go-to place for fresh fish and no fancy shmancy ""crazy reverse silicon valley tiger roll"" or some crap. Come here for nigiri, insane variety of japanese appetizers, and as mentioned initially, HAMACHI KAMA. Slightly charred and super moist, you'll never be satisfied with plain edamame for appetizers again. If you are going to get a roll, only get the House Special roll, which has loads of fresh fresh and only a small bit of spicy [Kewpie] mayo sauce."
840,"Splendid. This is my counterpart to sushi infinity. That is, the place I have a proclivity to when I am not looking to gorge myself with all-you-can-eat sushi.The food is excellent and so is the presentation. In fact, I enjoy how the food looks here so much that I have the sashimi here as the background picture on my phone. Also critically important, the service here is top-notch.If you're not a fish kind of guy (or are a budgetarian), this establishment also has a legitimate katsu don, which I would certainly recommend. My philosophy is: eat here. If you like sushi, definitely eat here."
841,"In my opinion, the perfect chirashi would contain the following ingredients:*multiple slices of sake, hamachi, saba, hotate, maguro, unagi, amaebi, tamago, white tuna*ikura (salmon roe)*slices of sweeten braised shiitake mushroom*pickled radish or daikon*seaweed salad (optional)This restaurant's chirashi had the following pros and cons, relative to my notion of the perfect chirashi:Pros: Good sized cuts, unagi, the pink-edged fish cake was niceCons: Missing sliced pickled daikon, sliced shiitakes, mackerel. Only one slice per fish"
842,"I think this place is a tad over rated. I wouldn't say it was amazing for how much it cost, but I would come back here and eat here. Be prepared to wait! There is a line to get in. If anything, maybe order one of their special rolls. Don't order the seaweed salad. It's a bit dry in my opinion. Service is standard as well. Nothing special because they are so busy."
843,"We arrived at 11:30am for lunch and got seated right away.  Had Sashimi lunch special, which comes with miso soup, salad (too salty) and white rice.  The sashimi came on a small wood cutting board, 4 different fishes each with 2 to 3 thick cuts.  They were fresh and delicious.  It's very cheap for the price you pay for the quality of food."
844,"Absolutely delicious... and very affordable. We ordered two Miso soups, tempura, nigiri, sashimi, chicken teriyaki, and a glass of wine for a little less than sixty dollars. A wait of around half an hour, but the food arrives within fifteen minutes, and the quality is worth the wait. I highly recommend this place!"
845,"We had to wait ~20 mins to get in (which is always a good sign). I was worried with them being busy that we wouldn't have good service, but they were very good at making sure we had everything we needed. We ordered a lot of food and sushi and it was very quick. I had the dragon roll and rainbow roll and WOW. So fresh and great quality. Highly recommend."
846,"The food was very appetizing! The portions were generous; a group of 4 ordered different dishes (udon, sushi, tempura, and rice bowl), and we all came out happy.I'm dinging it 1 star for one reason only, and that is because the waitress came by every 30 seconds to ask us if we knew what we wanted yet. I understand the necessity to turn tables quickly, but we weren't given adequate time to consider our choices. Other than that, it was great! A good atmosphere and quick service."
847,Whoa this place is great. Came here with some coworkers at 5pm and there was already a line. The fish was fresh and not deep fried and covered in sauce.
848,"There was a super long line, so I got take out. It took about 30 minutes to get it :( [hence minus one star]... The sushi was good, I should come back and try the sushi bar. I ordered the tekka maki and sushi combination, which originally came with salmon sushi, but I asked for it to be replaced and it was, yay!I'll come back for a sushi bar experience :) They take reservations, btw!"
849,"Food is okay as long as you stay away from the chicken. I had the Udon bowl, and the flavor was good but the chicken wasn't cleaned at all before it was cooked. Fat, tendons, and chicken grissle aren't good. Also, the Chicken Karaage was flavorful, but again the chicken wasn't cleaned. My wife's California roll was very heavy on mayonaise, to the point where it overtook the dish. My daughter got a spicy tuna roll and a Dragon roll and loved it. Service was hit or miss, but overall they were very nice.Had the chicken been cleaned properly, it probably would have been 4 stars."
850,"I have had good experience in the past but this time I ordered beef teriyaki bento with sashimi, you can see the color of the salmon sashimi overly red, and when I tasted it it's definitely not the freshest, I am not saying it's completely bad, but it's not very fresh :(  sorry I hope this is just a one time thing, because I really like the place, I do have pictures but I need to find out how to upload them -- I uploaded the picture, one of the piece was with rice on it"
851,"I've been to the Tomi's in San Jose, but I have to say this location is just a little better. They have a slightly bigger selection of sushi to choose from here and the sushi also tastes a bit more fresh. Most of the sushi I tried this time around tasted really delicious, aside from maybe one or two food items that I didn't enjoy all that much. I'd say the crunchy rolls are by far my favorite at Tomi's. I have one somewhat minor complaint that keep me from giving five stars. It's the price. It's just a bit more expensive then it should be in my opinion, especially for some of the more ""fancy"" rolls like the dragon roll or rainbow roll. Those are at least $12.00 and you only get 4-8 rolls. Still quite a good sushi joint though, I very much enjoyed the food and good service."
852,"Great food, great staff and good place to eat on a Friday night! Just be prepared to wait 30-45 mins!"
853,"The wait for this place is totally worth it. I've been here twice now and the food never disappoints. Outside of Japan, this place has pretty legit and fresh sushi. There have been only a couple places in the Bay Area that have satisfied my love for sushi outside of Japan - DASH, Sushi Sam's in San Mateo and Sushi Tomi in MV. In addition, the bento boxes are a bit prices but all worth it. They give you a lot of sashimi (6-8) pieces and I always leave stuffed. Con - service is a bit slow and rushed. This place always has large crowds, so come early!"
854,"Best neighborhood spot for sushi -- good combo of price and quality. Chirashi is good, as are the rolls and nigiri/sashimi. Also like their aji fry and broiled fish.Long waits though, and FYI, the omakase here isn't really omakase."
855,Really good Sushi. Their staff was friendly and all sushi options were good (Tried 5-6). Definitely recommend this place.
856,"My favorite sushi place in the South Bay! The food here is pretty fresh and delicious. My absolute favorite is the Tomi Special Roll-- I always get it! I like the hamachi and sake one more than spicy tuna though. The orange sauce is a bit spicy and it's just so delicious!The sashimi here is also pretty fresh, and the bentos are all good. We've had the eel over rice, teriyaki beef and chicken, monk liver, and everything has always been delicious. If you're looking for a good Japanese place, this is the place to go! There can be a bit of a wait, so it's always better to come earlier and put your name down first."
857,"Good sushi, good service. The fish is tasty and fresh, the tempura is tasty. The miso soup is delicious. I recommend Sushi Tomi."
858,"Sushi was so-so.  I went on a Monday night  (heard it is normally busy) so perhaps they didn't have the throughput.  In any case, the fish wasn't fresh and kinda warm.    We had the toro, salmon belly (fatty side), and yellowtail from Japan.  Also ordered some rolls.  The California rolls (i know i know, not real sushi) was decent.  We also had the spider roll but the fried pieces were chewy and not crispy.Tonkatsu was acceptable and so were the yosenabe.  The tempura was made perfectly, especially the ebi tempura.  Some places give you a tiny piece of shrimp surrounded by a lot of tempura batter--here, they give you a real shrimp.The service is great--it is run by Japanese people after all.I gave 3 stars because it seemed the price does not match the level of food that i would expect.    Also, the seats are hard to get into...You have to take off your shoes and slide into the benches.  (Maybe it was designed for Japanese ppl...I'm 6 3 and luckily only tall, not big)"
859,"Great Japanese food at a reasonable price.  The sukiyaki is DELICIOUS & has a nice mix of those clear noodles, meat, and assorted vegetables.  Teriyaki chicken was decent & it was a nice big portion.  Their sushi and sashimi were fresh.At Sushi Tomi, I always get the combination special bento (at the very top of the menu), which is a great deal for $16.90 -- it comes with miso soup, salad with delicious sesame dressing, rice, and your choice of 2 items (pick from: sukiyaki, california rolls, spicy tuna rolls, sashimi, tempura, pork cutlet, gyoza, teriyaki, mackerel, pike mackerel)Minus 1 star because: (1) The wait time can be ridiculously long during peak hours, for example Saturday evening. (2) If they seat you in the booths on the far right wall of the restaurant, you have to take off your shoes (yes, they do enforce it) -- Annoying & gross.  Who knows how filthy the carpet is under the table..."
860,Our service sucked. The prices are high. Food was ok. Why so much brag from other reviewers?Must not be any other sushi places in the next 50 miles.
861,"A nice 4.5 upbump for exceptionally fresh fish and well-executed sushi.  Per my protocol, I always go with an Omakase sushi to gauge a new Japanese spot.  At $35 for 10 pieces, the prices are reasonable considering the quality.  Each piece was carefully constructed and I especially enjoyed the king salmon and uni.  Being a stickler on sushi rice, Sushi Tomi cooks it very well and comes second so far only to Sushi Sam's Edomata.For those that love special rolls, the Tomi Roll here with your choice of hamachi, sake or spicy tuna on the inside comes beautifully seared and devoid of any spicy mayo sauce...just a drizzle aside it to dip into if you so choose.Like some of the bay's other top sushi spots, this place gets packed quickly even on weeknights so make a reservation if possible if you don't plan on sitting at the bar.  Service is adequate and factoring in this with the better price and comparable quality, I'd actually make my way over here over Sam's if given a choice."
862,"Fairly decent sushi and sashimi establishment that benefits inordinately and is slightly overrated from being one of the few authentic joints in the immediate area. I've tried a variety of sashimi and nigiri sushi several times here and found everything to be fairly fresh, yet unmemorable, with the overall value proposition somewhat lacking. If you're hell bent on having sushi and don't want to travel far, then this is *the* place in Mountain View. Otherwise, in the grand scheme of things, this place is merely average, as far as sushi restaurants go. If you just want to spend a bundle on a nice meal regardless of cuisine, then there are many other good restaurants nearby."
863,"This place is amazing. There is usually a small wait, but it's a small resultant, and it's also worth it. The quality of their fish, the very simple menu, it's perfect. The staff is very friendly and service is very quick. My husband or I go here several times a month. So goooooood!"
864,"We ordered food from almost every category and none of them were good, everything we got have different problems and it is so disappointing! Extra special chirashi- fish wasn't fresh, some are slimy...Grill salmon rice ball- I had never seen rice ball done this way,  flat instead of round like a ball, salmon was dry like powder Chicken Udon- normal udon, soup was salty, taste a bit fishy for some reason Grill chicken skewer - no seasoningCold tofu - I could've bought it from the supermarket Service wasn't very good either, no one greeted us, our tea was never refilled, saw our waitress twice, once when we order (she wasn't very knowledgeable, the attitude wasn't very nice either) 2nd time is getting our check.Never coming back again, such a disappointment"
865,"Love it! I stumbled upon this MV gem through the help of my fellow yelpers. What's funny is that i planned on taking my bf there for dinner. Turns out to be the same place his mom took him for lunch! Apparently its been a family fave except they havent taken us! I love how Sushi Tomi is so true to its culture. The sushi chefs and waitresses are all very true to their roots which i LOVE. So far, I've tried the extra special chirashi, lunch special sashimi, and omakase. I really enjoyed them all. I think it will ultimately depend on what i feel like eating. But, for the most part, their omakese is bomb! We all started off with a salmon miso soup. Then we got 1 piece of 10 different kinds of sushi. Then we had another hot fish item. And finished it off with an orange. Plus, my dad is really hard to please. He was actually a fan of the place once he saw the quality of the fish. The only drawback is the cutting skills arent perfect but i'd take fresh fish over cuts any day.Note that this place can get pretty busy so try to come at a good time."
866,"Came here Sunday dinner for 2. Wait wasn't too long and we got a table near the washroom after about 10 minutes. relatively big line outdoors.Food came quite quickly given the restaurant was filled to capacity. Servers were friendly and cleared the table relatively promptly.Ordered the dragon roll and combination special with gyoza and spicy tuna roll. Sushi was really yummy, gyoza was meh, but their soy sauce was super salty. God dang my blood pressure must've jumped off the scale.Prices are average ... Not cheap but not outrageous."
867,"I had lunch with my mom today and the service was less than great. I had finished my lunch box much earlier than my mom, who was only 75% of her way through hers and a sever came and asked if we needed anything else - I said we would like more tea. Instead of serving us more tea, the server came back with the check and placed it on the table ""thank you very much"". There was no tea and my mom rushed through her lunch. The portions were much smaller than I remembered. Average quality. Never going back again."
868,"Over priced, mediocre foodJust got their Nigiri Special Sushi dinner to go.   Their menu online said it was $21.    When I got there they charged me $25 saying ""sorry, the online menu is out of date"".     But, it wasn't even good.    Not at all fresh.    Day old sushi.    Lukewarm soup.    Really?    This is the top rated sushi place in Mountain View?"
869,"Best sushi in South Bay! Fresh and delicious. Always a line at lunch or dinner. Well worth the wait though. We sometimes go late towards closing time and get seated faster. We see how they clean everything at the end of the day! Very important for a sushi place. Took away one star because they indirectly raised the price for some items. Deluxe sashimi used to have raw shrimp, sea urchin and raw clams. Now just plain regular fish. They created sashimi omakase to include the above special items. But the price jumped from $38 to more than $50. A little disappointed. Will still go dine there despite the stealth inflation."
870,poor sevice for chinese！They will not let you sit on a table even they have. They will not ask you even if they have.
871,"(Sigh)This is what happens in the burbs: everyone's taste buds regress and all of a sudden a place that deserves 2 stars has a 4 star rating on Yelp. If you love sushi and actually want to eat good, fresh sushi, don't come here. Again, its a palette thing. If your palette is used to mediocrity, then this mediocre place will be delicious for you. If you are used to high quality sushi, you will be disappointed."
872,Quality sushi. Authentic Japanese dishes. Great place to catch up with friends over food.
873,"Last evening my friend and I were craving for good sushi, and given that we happened  to be in this area and I bookmarked Tomi on yelp before, we went ahead to try it out.We were lucky enough that there was no line, or anyone waiting ahead of us, but it still took the waitress quite a while to notice and seat us. Then we had 9 orders of nigiri:amaebi - goodUni - good and smallWhite tuna - ok2 types of Salmon - okSquid - alrightTako - mehToro -meh. I've had better. Considering the quality, overpriced.King crab- not so fresh.Overall it's not impressive, but not that bad either. We were just disappointed since the reviews are so good. What really makes me leaving this one star review is the following diarrhea attack, and both of us are still suffering from it right now - the very next day's afternoon. We eat sushi a lot but never had this problem before. It's sad, but beware, the fishes here might not be as fresh as you may like to believe. Nobody should pay $100 for diarrhea. I'm positive that we will not come back again."
874,Good quality sushi for a fair price. The sushi pieces are thick and big on each of the nigiri....it was very satisfying biting into the big chunk of quality fish. We ordered the extra special sushi and extra special chirashi... Both are very nicely done. A few notable pieces include the yellow tail and the Toro. The eel was specially memorable... It's thick and got anvery good texture to it. We also ordered the monk fish liver and fresh oyster. All are very delightful. They open at 11:30 for lunch and ppl start to form a line as early as 11-11:15. Their service is pretty quick.. we were able to get out of there in 45- min and not feeling rushed at all.
875,"Service:  Slightly confusing setup when it comes to putting your name on the list for a table.  There was a clipboard at the hostess desk where you can add your name to the waiting list.  Was not even acknowledged by the hostess until our name was called to be seated.  Once seated, the server immediately asks if you're ready to order.  Hate the feeling of being rushed.  Pretty typical of other sushi restaurants I've visited, so if you're looking for a nice, relaxing dining experience, this wouldn't necessarily be the place. Food:  On a more positive note, we ordered the pork gyoza & a sashimi platter.  Both were very good & the fish was extremely fresh!  I'd go back for that reason!"
876,"Was leaning towards a 3 star bc my donkatsu was nothing special (a bit on the smaller side) but the sashimi I got as part of my 2 entree lunch special (great value!) was PHENOMENAL. Best sashimi I've had in a while. Still green on the sushi scene around South Bay but the substantial size and the fatty goodness of each piece of sashimi I received was incredibly impressive. Definitely gonna go back if ever I need sashimi, looking forward to trying their sushi.I believe I had a reservation so my party was seated pretty promptly. Service was neither slow nor fast."
877,"After comparing this to some other of my sushi haunts, i had to downgrade my rating. The price is a little bit more for what you get. The quality is good but not enough to justify the added cost and wait. The staff are wonderful and prompt and attentive.But for getting sushi now, I always go to ..."
878,"From the line out the door, it must be good and we were not disappointed. The wait was a little annoying being crammed into the little space shuffling like penguins.The salad is typical as well as the miso soup. What is good is the fresh sashimi dinner and the spicy scallop which was very yummie. Great place and close to my house. Going back."
879,"Let's get right to it:Winners:Kobe Beef sushi (really - and they often have it)Toro (awesome and not too expensive $10 each pair of nigiri)CHU TORO - wow, when they had it, it was even better than the O-ToroScallop and anything containing itWhite tuna (though not as good as Yakko, Akasaka or Koma)Losers:SalmonSpicy tunaOK now for you English teacher types, here some prose so give me an A:The place had quite possibly the strangest combination of premium and low quality fish I have ever experienced.  The Toro nigiri was probably the second best I've ever had (and only $10 for two pieces) but the salmon and spicy tuna were clearly subpar - dry and lacking flavor (though the spicy tuna had enough heat to melt steel).  The decent white tuna included a pleasant flavored soy sauce and the Sapporo on tap was a nice bonus. The feel of the place is best described as ""authentic Japan hole in the wall,""  though it is probably big enough to sit 35.  I may return on a weekend when the fish may be fresher.______________________________________________________Update: My hunch was right.  I came back here on a weekend and the salmon was fresh and high quality.  For the heck of it I had the kobe beef nigiri (rare to find around here, as it were) and that was perhaps the best thing on the table.  Also recommended is a special roll they had that day of minced crab on the inside and scallop on the outside.  After two trips, I've noticed that they cut the fish thin but long, making pieces look larger than they are.  This leads to not being full and buying still more.  It cost us $45 per person with no alcohol.______________________________________________________Update 2:Unrelated to this restaurant, except that I learned this from the sushi master here: toro comes from three types of fish: (1) blue fin (where much of the fish is toro grade) (2) big eye (where some of the fish is toro grade) (3) yellow fin (where little of the fish is toro grade).    Albacore or ""white tuna"" is a different fish entirely.  So is escolar, which is sometimes called butter fish or ""super white tuna,"" as it tastes like butter (or toro!) and is as white as a sheet of typing paper.Anyway, you won't get escolar at this place, but you will at Yakko or Akasaka.  And don't eat more than about six pieces per week or you will need a new digestive system.   For this reason, it's entirely banned in large parts of Europe."
880,"2.5 stars.  Went for dinner.  Quality of fish in sushi rolls was ok, but I've had better.But my biggest complaint: the place felt so DIRTY! I won't return."
881,"I loved this place! 2 of us on Sunday night. We ordered omakase sashimi $35 for 10 kinds of sashimi. We couldn't really identify what we had, but they were DELICIOUS! There were 2 pieces of each for 8 out of the 10 kinds of sashimi so we could share w/o problems. We also ordered Yosenabe as well, which is a pot filled with seafood and clear soup. It came with rice, which tasted awesome when you add the soup to it. =] Overall, I loved it. The only downside is there were 2 flies flying around our food throughout dinner, which I don't think is something that you'd like to see around your food."
882,"Quaint little Japanese restaurant slightly off the main downtown strip, I was pleased to find a good rating. Unfortunately, I didn't get a chance to read what I should order. The 3 of us had to wait about 30 mins for a table to open up.It took us a while to decide what to order, but the 3 of us all chose the assorted chef's special for $22 and then the gyoza and agedashi tofu apps. The apps were average, nothing special. Some of the fish tasted really fresh, and some not so much. The salmon was probably my favorite in terms of freshness that day, and the uni was my least favorite. The uni had too much of a seafood taste. Overall decent, but I wasn't really impressed considering all the positive reviews."
883,"Not the freshest fish I've had, but it's authentic enough.  It gets an extra star because of the value!  Tasty food with good portions for really reasonable prices.Our entire party ordered off their combo meals list and almost all of us ordered their beef sukiyaki.  I am a huge sukiyaki fan - tender slices of beef, tofu, and veggies soaked in a hot, delicate, sweet broth.  It really hits the spot!"
884,"I've been here many times for dinner, but this review is based on the last two times I've been here for lunch.- My coworkers have noted that the chirashi, while good, has too much rice and not enough sashimi. - The last roll on the sushi menu (Tomi special roll or chef roll) is probably the best roll they have.- Dragon roll was also pretty good.- Alaskan dream roll (contains tuna, scallop, and something else) was not that great -- as in, it wasn't flavorful enough, and the fish didn't taste super fresh.- Super bomb roll is deep fried, but the flavors weren't that memorable or good.All in all I would probably eschew this place in favor of Tomi Sushi (its Mountain View sibling) or Sushi on the Run in Los Gatos (you can see my review there also)."
885,"Easily the best, most authentic, and most reasonable Japanese Restaurant in the South Bay. Been going here every 3-4 weeks for the last two years. Service 5/5Food 5/5Sashimi Dinner/LunchGreat price (22.90) for what you get. The tuna is always tender and absent of fishy after-tastes. Salmon is super fatty and melts in your mouth. Don't even bother getting the salmon belly. They put grated ginger or something similar on the white tuna which pairs well. And best yellow tail I've had in NorCal. You get the real flavor of the fish. Never had a bad experience with the quality of the food. They're only inconsistent in one good way, sometimes the cuts of sashimi are huge. But always on par with what you should expect. ToroGot it with the extra special sashimi twice. Only 5$ more for two pieces which is a steal. Marbling is amazing, you won't even see lines of fat it's get ingrained throughout. Not a fan of toro usually but this was well worth it.UniCreamy, not too salty, great color, super crisp seaweed. If you're a fan of uni this place is a must try.OystersThey usually get them from Seattle or Tokyo. It's special menu item but definitely try it if it's available. Topped with green onions, ponzu and the grated ginger like stuff I mentioned before. Huge oysters too. My god they're amazing. Better than the farmers market or nearby oyster bars. Tempura and other cooked food is good but come here for the fish that's why they're so popular. Line can we long so get here at opening and you'll be seated within 15 minutes- even on most weekends. Servers are super attentive. Never have to ask for water and they get whatever you ask for within minutes or seconds. Really friendly too."
886,The food was delicious and fresh. We came here on a Friday for lunch. The placed filled up pretty quick. Didn't have to wait for the food that long and it was delish! You can taste the freshness. Our waitress was nice and friendly.
887,"Do not recommend. Maybe Im spoiled by the Safeway takeout sushi quality, but I really don't know why there is a line to this place. Overpriced, meh quality, long wait to be seated.  Salmon rolls were made out of minced salmon, and fatty tuna belly roll was minced tuna, but definitely not tuna belly.  Izakaya (broiled skewers - pork belly, shisamo, and chicken skin) seemed boiled, then hit with the butane torch.  Pork was very tough, and shisamo was soggy?!?   Anyways.  Sad to see this place go down hill. Go elsewhere for better food. Nijiya market grocery takeout if you have to."
888,2nd visit and it's a great place.  Get there early as they are always busy.  I will be back
889,"Got the sushi for a quick lunch break. Great atmosphere, taisty food. Parking lot in the other side of the street."
890,"The good thing about a lunch date with another tech drone (such as myself) is that we can hit up any number of places on Castro, which are normally reserved for boring team lunches. On this occasion, we happened to fancy sushi. Now Castro has a number of sushi places (and coincidentally they're always full, a fun fact that I still don't understand), but chose Tomi because both of us had been there before and liked it. I got the Regular Nigiri Lunch, and they even substituted out the shrimp and clam items. As you can see from the photo, there were several nigiri of different fish and some great spicy tuna rolls. The quality of fish was excellent; no fishy smell or weird taste even from the Mackerel! The texture, very important to me in judging quality fish, was also perfect.All in all, the food and service was good. It was a little pricey for lunch, but then you normally get what you pay for when it comes to sushi."
891,We both had the sushi sampler. The restaurant was super busy and our order came to our table in 2 minutes so we are pretty sure it was pre-made. A couple of the rolls we had were not correctly seasoned and overly spicy. I was expecting a lot more from this place.
892,"I have been here a few times, the only thing I used to remember is the long queue and nothing else. Tonight, I tried a few new dish. I was totally blown away by the sea-bass & hot sake."
893,"With all the reviews on here I was expecting to be blown away, but it's basically your basic run of the mill sushi spot. My bf ordered the sashimi lunch special and I had 2 of their special inside out rolls (dragon and salmon/unagi roll). Nice big peices but nothing special. Their menu isn't very sushi heavy, they have a large variety of other noodles or soups you can order from. I was hoping to see more out of the special rolls and that was a little disappointing. I guess I don't know what I was expecting but for the price we paid it was more of a meh reaction. We both also got the feeling that we were being rushed so they could seat the next couple. I was still eating when they brought our check.Dont get me wrong, The service was great! We were seated right away and attended to for refills frequently. Would I come back? Yes. Would it be my first sushi spot choice? Probably not. I suppose my standards are higher now that I've tried some top notch sushi at other places but this one was neither disappointing nor amazing. Just being honest yall."
894,"Love it, love it. I would eat here every day if I could, but I am a destitute college student.It is a busy little place, but I've never had to wait for too long. I usually end up eating the free gummi bears they have available, that I'm sure everyone sneezes and coughs on.This is good, cheap sushi.  I've never had anything that I didn't like here. Fuki -is- better, but only slightly and for a disproportionate increase in price. People need to realise that it's about the food and not about ambiance and decor.There's a lot directly across the street and if it's not a busy night on the Castro, you should have no problem parking. Service is always quick and friendly. Come here for no nonsense sushi and a lovely lack of sake bombs."
